trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,break_text.started,break_text.stopped,postbreak_text.started,postbreak_text.stopped,fixation1.started,fixation1.stopped,dots_stimulus.started,dots_stimulus.stopped,blackout.started,blackout.stopped,red_dot.started,red_dot.stopped,fixation2.started,fixation2.stopped,pursuit_or_saccade_dot.started,pursuit_or_saccade_dot.stopped,response.keys,response.rt,response.started,response.stopped,coh,dir,response,correct,pursuit_saccade_isLeft,congruent,pupil_timestamp,psychopy_timestamp,participant,trials_per_condition,pursuit_or_saccade,practice_version,break_every_n_trials,pupil_on,date,expName,psychopyVersion,frameRate,
244,0,244,0,None,None,None,None,1422.370436899997,1423.3840364999996,1423.3840364999996,1423.6847939,1423.3840364999996,1423.6847939,1422.370436899997,1424.7021779999995,1423.6847939,1424.6854218999943,1424.6854218999943,1425.8365496999977,right,0.2129994999995688,1425.8365496999977,None,0.12,180.0,0,0,0.0,0,55861.43788,1421.3656250800022,,90,1,0,45,1,2021_Feb_10_1523,testDots,2020.2.5,59.698284868642006,
245,0,245,0,None,None,None,None,1427.0913890999946,1428.1057400999998,1428.1057400999998,1428.4062202999994,1428.1057400999998,1428.4062202999994,1427.0913890999946,1429.4233628000002,1428.4062202999994,1429.4071092999948,1429.4071092999948,1430.5584135999961,right,0.4190235999994911,1430.5584135999961,None,0.06,0.0,0,1,0.0,1,55866.158891,1426.0868122799993,,90,1,0,45,1,2021_Feb_10_1523,testDots,2020.2.5,59.698284868642006,
246,0,246,0,None,None,None,None,1432.0299381000004,1433.0436234999943,1433.0436234999943,1433.3445984999998,1433.0436234999943,1433.3445984999998,1432.0299381000004,1434.3613429999969,1433.3445984999998,1434.3452997999993,1434.3452997999993,1435.4964450999978,right,0.19347449999622768,1435.4964450999978,None,0.03,180.0,0,0,0.0,0,55871.097643,1431.026127379996,,90,1,0,45,1,2021_Feb_10_1523,testDots,2020.2.5,59.698284868642006,
247,0,247,0,None,None,None,None,1436.7393968999968,1437.748365200001,1437.748365200001,1438.0485339000006,1437.748365200001,1438.0485339000006,1436.7393968999968,1439.0666570999965,1438.0485339000006,1439.050123000001,1439.050123000001,1440.2013271999967,right,0.1763390000051004,1440.2013271999967,None,0.24,0.0,0,1,0.0,1,55875.805332,1435.7305908800017,,90,1,0,45,1,2021_Feb_10_1523,testDots,2020.2.5,59.698284868642006,
248,0,248,0,None,None,None,None,1441.4223404000004,1442.4370654999948,1442.4370654999948,1442.7370207999993,1442.4370654999948,1442.7370207999993,1441.4223404000004,1443.7542441999976,1442.7370207999993,1443.7378410999954,1443.7378410999954,1444.8892826999945,left,0.11219370000617346,1444.8892826999945,None,0.12,180.0,180,1,0.0,0,55880.490195,1440.4177596799973,,90,1,0,45,1,2021_Feb_10_1523,testDots,2020.2.5,59.698284868642006,
249,0,249,0,None,None,None,None,1446.0439114999972,1447.058108499994,1447.058108499994,1447.3586852000008,1447.058108499994,1447.3586852000008,1446.0439114999972,1448.3765016999969,1447.3586852000008,1448.358833499995,1448.358833499995,1449.5103168999995,left,0.1313146999964374,1449.5103168999995,None,0.48,180.0,180,1,0.0,0,55885.111054,1445.0391463800015,,90,1,0,45,1,2021_Feb_10_1523,testDots,2020.2.5,59.698284868642006,
250,0,250,0,None,None,None,None,1450.6823436999985,1451.6961078999957,1451.6961078999957,1451.9958775999985,1451.6961078999957,1451.9958775999985,1450.6823436999985,1453.0135718999954,1451.9958775999985,1452.9979357999982,1452.9979357999982,1454.1486279999954,left,0.11692979999497766,1454.1486279999954,None,0.03,180.0,180,1,1.0,1,55889.74967,1449.6779207799964,,90,1,0,45,1,2021_Feb_10_1523,testDots,2020.2.5,59.698284868642006,
251,0,251,0,None,None,None,None,1455.305021399996,1456.3170231999975,1456.3170231999975,1456.6180555999963,1456.3170231999975,1456.6180555999963,1455.305021399996,1457.634502599998,1456.6180555999963,1457.6182559999943,1457.6182559999943,1458.7699179999981,right,0.2555916999990586,1458.7699179999981,None,0.24,0.0,0,1,1.0,0,55894.370667,1454.2986795799998,,90,1,0,45,1,2021_Feb_10_1523,testDots,2020.2.5,59.698284868642006,
252,0,252,0,None,None,None,None,1460.0749546000006,1461.0879768999948,1461.0879768999948,1461.3899229999952,1461.0879768999948,1461.3899229999952,1460.0749546000006,1462.4070756,1461.3899229999952,1462.3904242999997,1462.3904242999997,1463.5410235999952,right,0.10045700000046054,1463.5410235999952,None,0.12,0.0,0,1,0.0,1,55899.142187,1459.0704678800003,,90,1,0,45,1,2021_Feb_10_1523,testDots,2020.2.5,59.698284868642006,
253,0,253,0,None,None,None,None,1464.6779300999988,1465.6925282999946,1465.6925282999946,1465.9933564999956,1465.6925282999946,1465.9933564999956,1464.6779300999988,1467.0115256999998,1465.9933564999956,1466.9945595999961,1466.9945595999961,1468.1459981999942,right,0.1597641999978805,1468.1459981999942,None,0.48,0.0,0,1,0.0,1,55903.745464,1463.6739234800016,,90,1,0,45,1,2021_Feb_10_1523,testDots,2020.2.5,59.698284868642006,
